coding	meaning	node_id	parent_id	selectable
G403	G40.3 Generalised idiopathic epilepsy and epileptic syndromes	3303	3299	Y
G405	G40.5 Special epileptic syndromes	3305	3299	Y
G406	G40.6 Grand mal seizures, unspecified (with or without petit mal)	3306	3299	Y
G407	G40.7 Petit mal, unspecified, without grand mal seizures	3307	3299	Y
G408	G40.8 Other epilepsy	3308	3299	Y
G409	G40.9 Epilepsy, unspecified	3309	3299	Y
G41	G41 Status epilepticus	3310	92	N
G410	G41.0 Grand mal status epilepticus	3311	3310	Y
G419	G41.9 Status epilepticus, unspecified	3315	3310	Y
G43	G43 Migraine	3316	92	N
G430	G43.0 Migraine without aura [common migraine]	3317	3316	Y
G431	G43.1 Migraine with aura [classical migraine]	3318	3316	Y
G438	G43.8 Other migraine	3321	3316	Y
G439	G43.9 Migraine, unspecified	3322	3316	Y
G44	G44 Other headache syndromes	3323	92	N
G440	G44.0 Cluster headache syndrome	3324	3323	Y
G442	G44.2 Tension-type headache	3326	3323	Y
G444	G44.4 Drug-induced headache, not elsewhere classified	3328	3323	Y
G448	G44.8 Other specified headache syndromes	3329	3323	Y
G45	G45 Transient cerebral ischaemic attacks and related syndromes	3330	92	N
G450	G45.0 Vertebro-basilar artery syndrome	3331	3330	Y
G451	G45.1 Carotid artery syndrome (hemispheric)	3332	3330	Y
G453	G45.3 Amaurosis fugax	3334	3330	Y
G454	G45.4 Transient global amnesia	3335	3330	Y
G458	G45.8 Other transient cerebral ischaemic attacks and related syndromes	3336	3330	Y
G459	G45.9 Transient cerebral ischaemic attack, unspecified	3337	3330	Y
G46	G46 Vascular syndromes of brain in cerebrovascular diseases	3338	92	N
G464	G46.4 Cerebellar stroke syndrome	3343	3338	Y
G467	G46.7 Other lacunar syndromes	3346	3338	Y
G47	G47 Sleep disorders	3348	92	N
G470	G47.0 Disorders of initiating and maintaining sleep [insomnias]	3349	3348	Y
G471	G47.1 Disorders of excessive somnolence [hypersomnias]	3350	3348	Y
G473	G47.3 Sleep apnoea	3352	3348	Y
G474	G47.4 Narcolepsy and cataplexy	3353	3348	Y
G478	G47.8 Other sleep disorders	3354	3348	Y
G479	G47.9 Sleep disorder, unspecified	3355	3348	Y
G50	G50 Disorders of trigeminal nerve	3356	93	N
G500	G50.0 Trigeminal neuralgia	3357	3356	Y
G501	G50.1 Atypical facial pain	3358	3356	Y
G508	G50.8 Other disorders of trigeminal nerve	3359	3356	Y
G51	G51 Facial nerve disorders	3361	93	N
G510	G51.0 Bell's palsy	3362	3361	Y
G513	G51.3 Clonic hemifacial spasm	3365	3361	Y
G518	G51.8 Other disorders of facial nerve	3367	3361	Y
G519	G51.9 Disorder of facial nerve, unspecified	3368	3361	Y
G53	G53 Cranial nerve disorders in diseases classified elsewhere	3377	93	N
G530	G53.0 Postzoster neuralgia	3378	3377	Y
G54	G54 Nerve root and plexus disorders	3383	93	N
G540	G54.0 Brachial plexus disorders	3384	3383	Y
G544	G54.4 Lumbosacral root disorders, not elsewhere classified	3388	3383	Y
G546	G54.6 Phantom limb syndrome with pain	3390	3383	Y
G548	G54.8 Other nerve root and plexus disorders	3392	3383	Y
G549	G54.9 Nerve root and plexus disorder, unspecified	3393	3383	Y
G55	G55 Nerve root and plexus compressions in diseases classified elsewhere	3394	93	N
G550	G55.0 Nerve root and plexus compressions in neoplastic disease	3395	3394	Y
G551	G55.1 Nerve root and plexus compressions in intervertebral disk disorders	3396	3394	Y
G552	G55.2 Nerve root and plexus compressions in spondylosis	3397	3394	Y
G553	G55.3 Nerve root and plexus compressions in other dorsopathies	3398	3394	Y
G558	G55.8 Nerve root and plexus compressions in other diseases classified elsewhere	3399	3394	Y
G56	G56 Mononeuropathies of upper limb	3400	93	N
G560	G56.0 Carpal tunnel syndrome	3401	3400	Y
G561	G56.1 Other lesions of median nerve	3402	3400	Y
G562	G56.2 Lesion of ulnar nerve	3403	3400	Y
G563	G56.3 Lesion of radial nerve	3404	3400	Y
G564	G56.4 Causalgia	3405	3400	Y
G568	G56.8 Other mononeuropathies of upper limb	3406	3400	Y
G569	G56.9 Mononeuropathy of upper limb, unspecified	3407	3400	Y
G57	G57 Mononeuropathies of lower limb	3408	93	N
G570	G57.0 Lesion of sciatic nerve	3409	3408	Y
G571	G57.1 Meralgia paraesthetica	3410	3408	Y
G573	G57.3 Lesion of lateral popliteal nerve	3412	3408	Y
G575	G57.5 Tarsal tunnel syndrome	3414	3408	Y
G576	G57.6 Lesion of plantar nerve	3415	3408	Y
G578	G57.8 Other mononeuropathies of lower limb	3416	3408	Y
G579	G57.9 Mononeuropathy of lower limb, unspecified	3417	3408	Y
G58	G58 Other mononeuropathies	3418	93	N
G587	G58.7 Mononeuritis multiplex	3420	3418	Y
G588	G58.8 Other specified mononeuropathies	3421	3418	Y
G589	G58.9 Mononeuropathy, unspecified	3422	3418	Y
G59	G59 Mononeuropathy in diseases classified elsewhere	3423	93	N
G590	G59.0 Diabetic mononeuropathy	3424	3423	Y
G60	G60 Hereditary and idiopathic neuropathy	3426	94	N
G600	G60.0 Hereditary motor and sensory neuropathy	3427	3426	Y
G608	G60.8 Other hereditary and idiopathic neuropathies	3431	3426	Y
G609	G60.9 Hereditary and idiopathic neuropathy, unspecified	3432	3426	Y
G61	G61 Inflammatory polyneuropathy	3433	94	N
G610	G61.0 Guillain-Barre syndrome	3434	3433	Y
G618	G61.8 Other inflammatory polyneuropathies	3436	3433	Y
G619	G61.9 Inflammatory polyneuropathy, unspecified	3437	3433	Y
G62	G62 Other polyneuropathies	3438	94	N
G620	G62.0 Drug-induced polyneuropathy	3439	3438	Y
G621	G62.1 Alcoholic polyneuropathy	3440	3438	Y
G628	G62.8 Other specified polyneuropathies	3442	3438	Y
G629	G62.9 Polyneuropathy, unspecified	3443	3438	Y
G63	G63 Polyneuropathy in diseases classified elsewhere	3444	94	N
G632	G63.2 Diabetic polyneuropathy	3447	3444	Y
G70	G70 Myasthenia gravis and other myoneural disorders	3454	95	N
G700	G70.0 Myasthenia gravis	3455	3454	Y
G709	G70.9 Myoneural disorder, unspecified	3459	3454	Y
G71	G71 Primary disorders of muscles	3460	95	N
G710	G71.0 Muscular dystrophy	3461	3460	Y
G711	G71.1 Myotonic disorders	3462	3460	Y
G713	G71.3 Mitochondrial myopathy, not elsewhere classified	3464	3460	Y
G72	G72 Other myopathies	3467	95	N
G720	G72.0 Drug-induced myopathy	3468	3467	Y
G721	G72.1 Alcoholic myopathy	3469	3467	Y
G724	G72.4 Inflammatory myopathy, not elsewhere classified	3472	3467	Y
G728	G72.8 Other specified myopathies	3473	3467	Y
G729	G72.9 Myopathy, unspecified	3474	3467	Y
G80	G80 Infantile cerebral palsy	3484	96	N
G800	G80.0 Spastic cerebral palsy	3485	3484	Y
G801	G80.1 Spastic diplegia	3486	3484	Y
G808	G80.8 Other infantile cerebral palsy	3490	3484	Y
G809	G80.9 Infantile cerebral palsy, unspecified	3491	3484	Y
G81	G81 Hemiplegia	3492	96	N
G811	G81.1 Spastic hemiplegia	3494	3492	Y
G819	G81.9 Hemiplegia, unspecified	3495	3492	Y
G82	G82 Paraplegia and tetraplegia	3496	96	N
G821	G82.1 Spastic paraplegia	3498	3496	Y
G822	G82.2 Paraplegia, unspecified	3499	3496	Y
G824	G82.4 Spastic tetraplegia	3501	3496	Y
G825	G82.5 Tetraplegia, unspecified	3502	3496	Y
G83	G83 Other paralytic syndromes	3503	96	N
G831	G83.1 Monoplegia of lower limb	3505	3503	Y
G832	G83.2 Monoplegia of upper limb	3506	3503	Y
G834	G83.4 Cauda equina syndrome	3508	3503	Y
G838	G83.8 Other specified paralytic syndromes	3510	3503	Y
G839	G83.9 Paralytic syndrome, unspecified	3511	3503	Y
G90	G90 Disorders of autonomic nervous system	3512	97	N
G900	G90.0 Idiopathic peripheral autonomic neuropathy	3513	3512	Y
G902	G90.2 Horner's syndrome	3515	3512	Y
G903	G90.3 Multisystem degeneration	3516	3512	Y
G909	G90.9 Disorder of autonomic nervous system, unspecified	3519	3512	Y
G91	G91 Hydrocephalus	3520	97	N
G910	G91.0 Communicating hydrocephalus	3521	3520	Y
G911	G91.1 Obstructive hydrocephalus	3522	3520	Y
G912	G91.2 Normal-pressure hydrocephalus	3523	3520	Y
G919	G91.9 Hydrocephalus, unspecified	3526	3520	Y
G93	G93 Other disorders of brain	3528	97	N
G930	G93.0 Cerebral cysts	3529	3528	Y
G931	G93.1 Anoxic brain damage, not elsewhere classified	3530	3528	Y
G932	G93.2 Benign intracranial hypertension	3531	3528	Y
G933	G93.3 Postviral fatigue syndrome	3532	3528	Y
G934	G93.4 Encephalopathy, unspecified	3533	3528	Y
G936	G93.6 Cerebral oedema	3535	3528	Y
G938	G93.8 Other specified disorders of brain	3537	3528	Y
G939	G93.9 Disorder of brain, unspecified	3538	3528	Y
G94	G94 Other disorders of brain in diseases classified elsewhere	3539	97	N
G941	G94.1 Hydrocephalus in neoplastic disease	3541	3539	Y
G942	G94.2 Hydrocephalus in other diseases classified elsewhere	3542	3539	Y
G95	G95 Other diseases of spinal cord	3544	97	N
G950	G95.0 Syringomyelia and syringobulbia	3545	3544	Y
G951	G95.1 Vascular myelopathies	3546	3544	Y
G952	G95.2 Cord compression, unspecified	3547	3544	Y
G958	G95.8 Other specified diseases of spinal cord	3548	3544	Y
G959	G95.9 Disease of spinal cord, unspecified	3549	3544	Y
G96	G96 Other disorders of central nervous system	3550	97	N
G960	G96.0 Cerebrospinal fluid leak	3551	3550	Y
G961	G96.1 Disorders of meninges, not elsewhere classified	3552	3550	Y
G968	G96.8 Other specified disorders of central nervous system	3553	3550	Y
G97	G97 Postprocedural disorders of nervous system, not elsewhere classified	3555	97	N
G970	G97.0 Cerebrospinal fluid leak from spinal puncture	3556	3555	Y
G971	G97.1 Other reaction to spinal and lumbar puncture	3557	3555	Y
G978	G97.8 Other postprocedural disorders of nervous system	3559	3555	Y
G98	G98 Other disorders of nervous system, not elsewhere classified	3561	97	Y
G99	G99 Other disorders of nervous system in diseases classified elsewhere	3562	97	N
G990	G99.0 Autonomic neuropathy in endocrine and metabolic diseases	3563	3562	Y
G992	G99.2 Myelopathy in diseases classified elsewhere	3565	3562	Y
